,age,gender,education,class,marital_status,race,is_hispanic,employment_commitment,employment_stat,wage_per_hour,working_week_per_year,industry_code_main,occupation_code_main,household_summary,vet_benefit,tax_status,citizenship,income_above_limit,investments,4_clusters
0,63+, Female,highschool,NA, Widowed, White,No,Unemployed,0,0_10,weeks_worked_48_52, Not in universe or children,NA, Householder,2, Head of household,Native,0,TRUE,0
1,63+, Female,highschool,NA, Widowed, White,No, Children or Armed Forces,0,0_10,weeks_worked_0, Not in universe or children,NA, Householder,2, Single,Native,0,FALSE,0
2,18_24, Male,no_highschool, Federal government, Never married, Black,No, Children or Armed Forces,0,101_500,weeks_worked_1_25, Hospital services, Adm support including clerical, Child 18 or older,2, Single,Native,0,FALSE,2
4,63+, Male,highschool,NA, Married-civilian spouse present, White,No,Unemployed,0,0_10,weeks_worked_0, Not in universe or children,NA, Spouse of householder,2, Joint both 65+,Native,0,FALSE,0
5,33_45, Male,bachelors, Private, Married-civilian spouse present, Asian or Pacific Islander,No, Children or Armed Forces,0,501_1000,weeks_worked_48_52, Retail trade, Other service, Householder,2, Joint both under 65, Foreign born- Not a citizen of U S ,0,FALSE,3
6,46_62, Male,highschool, Private, Married-civilian spouse present, White,No, Full-time schedules,0,0_10,weeks_worked_48_52, Retail trade, Executive admin and managerial, Spouse of householder,2, Joint both under 65,Native,0,FALSE,1
7,18_24, Female,highschool, Private, Married-civilian spouse present, White,No, Full-time schedules,0,0_10,weeks_worked_48_52, Finance insurance and real estate, Sales, Spouse of householder,2, Joint both under 65,Native,0,FALSE,1
8,63+, Female,no_highschool,NA, Married-civilian spouse present, Black,No,Unemployed,0,0_10,weeks_worked_1_25, Not in universe or children,NA, Spouse of householder,2, Joint both 65+,Native,0,FALSE,0
9,18_24, Female,no_highschool, Private, Married-civilian spouse present, Black,No, Full-time schedules,0,0_10,weeks_worked_48_52, Manufacturing-nondurable goods, Machine operators assmblrs & inspctrs, Child 18 or older,2, Joint both under 65,Native,0,FALSE,1
10,25_32, Male,highschool, Local government, Never married, White,No, Full-time schedules,0,0_10,weeks_worked_26_47, Transportation, Other service, Nonrelative of householder,2, Single,Native,0,FALSE,2
12,18_24, Female,highschool,NA, Never married, White,No,Unemployed,0,0_10,weeks_worked_0, Not in universe or children,NA, Child 18 or older,2, Nonfiler,Native,0,FALSE,0
14,33_45, Male,highschool, Self-employed-incorporated, Married-civilian spouse present, White,No, Children or Armed Forces,2,0_10,weeks_worked_48_52, Business and repair services, Precision production craft & repair, Householder,2, Joint both under 65,Native,0,FALSE,3
15,33_45, Female,highschool,NA, Married-civilian spouse present, White,Yes, Children or Armed Forces,0,0_10,weeks_worked_0, Not in universe or children,NA, Spouse of householder,2, Joint both under 65,Native,0,FALSE,0
17,63+, Female,highschool,NA, Widowed, White,No,Unemployed,0,0_10,weeks_worked_0, Not in universe or children,NA, Householder,2, Single,Native,0,TRUE,0
18,33_45, Female,masters, Private, Married-civilian spouse present, White,No, Children or Armed Forces,0,0_10,weeks_worked_48_52, Medical except hospital, Professional specialty, Householder,2, Joint both under 65,Native,1,TRUE,1
19,46_62, Male,bachelors, Local government, Married-civilian spouse present, White,No, Children or Armed Forces,0,0_10,weeks_worked_26_47, Education, Professional specialty, Spouse of householder,2, Joint both under 65,Native,1,TRUE,1
20,18_24, Male,no_highschool, Private, Never married, Black,No, Full-time schedules,0,501_1000,weeks_worked_26_47, Construction, Handlers equip cleaners etc , Child 18 or older,2, Single,Native,0,FALSE,2
21,46_62, Female,no_highschool, Private, Divorced, White,No, Full-time schedules,0,501_1000,weeks_worked_48_52, Retail trade, Other service, Householder,2, Single,Native,0,FALSE,2
22,63+, Male,highschool,NA, Married-civilian spouse present, White,No, Children or Armed Forces,0,0_10,weeks_worked_0, Not in universe or children,NA, Householder,2, Joint both 65+,Native,0,FALSE,0
23,46_62, Female,highschool, Private, Married-civilian spouse present, White,No, Full-time schedules,0,0_10,weeks_worked_48_52, Manufacturing-durable goods, Transportation and material moving, Spouse of householder,2, Joint one under 65 & one 65+,Native,0,FALSE,1
24,25_32, Female,no_highschool, Private, Married-civilian spouse present, White,No, Full-time schedules,0,0_10,weeks_worked_48_52, Medical except hospital, Adm support including clerical, Spouse of householder,2, Joint both under 65,Native,0,FALSE,1
25,33_45, Female,highschool, Local government, Divorced, White,No, Full-time schedules,0,0_10,weeks_worked_48_52, Public administration, Adm support including clerical, Householder,2, Head of household,Native,0,FALSE,1
26,63+, Male,no_highschool,NA, Divorced, White,No, Children or Armed Forces,0,0_10,weeks_worked_0, Not in universe or children,NA, Householder,2, Nonfiler,Native,0,FALSE,0
27,25_32, Female,highschool,NA, Married-civilian spouse present, White,No, Children or Armed Forces,0,0_10,weeks_worked_0, Not in universe or children,NA, Spouse of householder,2, Joint both under 65,Native,0,FALSE,0
28,33_45, Female,assc_acad,NA, Never married, White,No,Unemployed,0,0_10,weeks_worked_0, Not in universe or children,NA, Child 18 or older,2, Nonfiler, Foreign born- U S citizen by naturalization,0,FALSE,0
30,33_45, Female,highschool,NA, Married-civilian spouse present, Black,No, Children or Armed Forces,0,0_10,weeks_worked_0, Not in universe or children,NA, Householder,2, Joint both under 65,Native,0,FALSE,0
31,33_45, Male,no_highschool, Private, Married-spouse absent, White,Yes, Full-time schedules,0,0_10,weeks_worked_48_52, Manufacturing-durable goods, Machine operators assmblrs & inspctrs, Householder,2, Single, Foreign born- Not a citizen of U S ,0,FALSE,3
32,46_62, Male,highschool, Private, Married-civilian spouse present, White,No,Part-time employed,0,0_10,weeks_worked_26_47, Manufacturing-nondurable goods, Precision production craft & repair, Householder,2, Joint both under 65,Native,1,TRUE,3
33,63+, Male,highschool,NA, Married-civilian spouse present, White,No,Unemployed,0,0_10,weeks_worked_0, Not in universe or children,NA, Householder,2, Joint one under 65 & one 65+,Native,0,FALSE,0
34,46_62, Male,masters, Self-employed-not incorporated, Married-civilian spouse present, White,No, Children or Armed Forces,1,0_10,weeks_worked_48_52, Agriculture, Farming forestry and fishing, Householder,2, Joint both under 65,Native,0,FALSE,3
39,18_24, Male,no_highschool, Private, Never married, White,Yes,Unemployed,0,0_10,weeks_worked_26_47, Business and repair services, Other service, Householder,2, Single, Native- Born abroad of American Parent(s),0,FALSE,2
40,25_32, Male,no_highschool, Private, Married-civilian spouse present, White,No, Children or Armed Forces,2,0_10,weeks_worked_48_52, Transportation, Transportation and material moving, Householder,2, Joint both under 65,Native,0,FALSE,3
41,18_24, Female,somecollege, Private, Married-civilian spouse present, White,No,Part-time employed,2,0_10,weeks_worked_48_52, Finance insurance and real estate, Adm support including clerical, Spouse of householder,2, Joint both under 65,Native,0,FALSE,1
42,46_62, Female,somecollege, Private, Married-civilian spouse present, White,No, Full-time schedules,0,0_10,weeks_worked_26_47, Hospital services, Professional specialty, Spouse of householder,2, Joint both under 65,Native,0,TRUE,1
43,63+, Female,no_highschool,NA, Widowed, White,Yes, Children or Armed Forces,0,0_10,weeks_worked_0, Not in universe or children,NA, Householder,2, Single, Foreign born- Not a citizen of U S ,0,FALSE,0
44,33_45, Male,somecollege, State government, Married-civilian spouse present, Black,No, Children or Armed Forces,0,0_10,weeks_worked_48_52, Construction, Transportation and material moving, Spouse of householder,2, Joint both under 65,Native,0,FALSE,1
47,46_62, Male,no_highschool, Private, Married-civilian spouse present, White,No, Full-time schedules,0,1000+,weeks_worked_48_52, Construction, Precision production craft & repair, Householder,2, Joint both under 65,Native,0,FALSE,3
48,63+, Male,bachelors, Self-employed-not incorporated, Never married, White,No, Full-time schedules,0,0_10,weeks_worked_48_52, Other professional services, Executive admin and managerial, Householder,2, Single,Native,0,FALSE,2
49,46_62, Male,highschool, Private, Married-civilian spouse present, Black,No, Children or Armed Forces,0,1000+,weeks_worked_48_52, Retail trade, Transportation and material moving, Householder,2, Joint both under 65,Native,0,FALSE,3
